"acoplw-blockText","attachment-woocommerce_thumbnail src","woocommerce-loop-product_title","col-sm-3","regular_amount","woocommerce-Price-amount","aosmith_price_prefix","view-detail href"
"New Launch","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2026/03/Product-Image-1-EcoSmart_Hor_15_Right_View-1-200x222.png","ECOSMART (Horizontal)","The EcoSmart Series is a perfect choice for homes looking for energy-efficient and long-lasting water heating.","MRP:","11,550","/-","https://www.aosmithindia.com/product/ecosmart-horizontal/"
"New Launch","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2025/08/InstaPod_5_Front_View-01-2-200x222.png","InstaPod 3KW","Introducing the all-new A.O. Smith InstaPod Water Heater—a compact, stylish, and efficient choice for instant hot water.","MRP:","5,100","/-","https://www.aosmithindia.com/product/instapod-3kw-5l/"
"New Launch","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2025/08/InstaPod_3_Front_View-01-1-200x222.png","InstaPod 4.5KW","Introducing the all-new A.O. Smith InstaPod Water Heater—a compact, stylish, and efficient choice for instant hot water.","MRP:","5,400","/-","https://www.aosmithindia.com/product/instapod-4-5kw/"
"","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2024/11/FastOn_5_Right_View-200x222.png","FASTON 5L","The rust-proof ABS outer body ensures long-lasting durability and a premium look. With an advanced safety mechanism including a Multi-Function Safety Valve and Thermal Cut-out, the Faston 5L delivers reliability, safety, and energy efficiency in one stylish package.","MRP:  /-","7,000","","https://www.aosmithindia.com/product/faston-5l/"
"","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2024/10/Elegance_PN_AOS_Web-01-200x222.png","Elegance Prime Neo Vertical","Witness the super durable, super efficient and super compact Elegance Prime. Equipped with Blue Diamond® Technology, Elegance Prime Water Heaters deliver high performance. 7-year warranty on tank ensures peace of mind. With BEE 5 star rating, get maximum energy savings. Innovative RRID Technology delivers enhanced hot water output.","MRP:  /-","11,900","","https://www.aosmithindia.com/product/elegance-prime-neo-vertical/"
"","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2024/10/Elegance_SN_AOS_Web-01-200x222.png","Elegance Slim Neo Horizontal","Witness the super durable, super efficient and super compact Elegance Prime. Equipped with Blue Diamond® Technology, Elegance Prime Water Heaters deliver high performance. 7-year warranty on tank ensures peace of mind. With BEE 5 star rating, get maximum energy savings. Innovative RRID Technology delivers enhanced hot water output.","MRP:  /-","12,200","","https://www.aosmithindia.com/product/elegance-slim-neo-horizantal/"
"","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2024/01/EWS-5L-2-200x200.png","EWS-5L","EWS 5L instant water heater is crafted to meet your hot water needs on demand with 3kW heating element.","MRP:","6,490","/-","https://www.aosmithindia.com/product/buy-ews-5l-instant-water-heaters-a-o-smith-india/"
"","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2024/01/EWS-2-200x200.png","EWS Plus","EWS Plus instant water heater is crafted to meet your hot water needs on demand with 3kW heating element.","MRP:","5,200","/-","https://www.aosmithindia.com/product/buy-ews-plus-instant-water-heaters-a-o-smith-india/"
"Best Sellers","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2023/10/Elegance_Prime_Ver_10_Front_View-200x263.png","Elegance Prime Vertical","Witness the super durable, super efficient and super compact Elegance Prime. Equipped with Blue Diamond® Technology, Elegance Prime Water Heaters deliver high performance. 7-year warranty on tank ensures peace of mind. With BEE 5 star rating, get maximum energy savings. Innovative RRID Technology delivers enhanced hot water output.","MRP:  /-","9,800","","https://www.aosmithindia.com/product/elegance-prime-vertical/"
"Best Sellers","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2023/10/Elegance_Prime_Hor_10_Front_View-200x152.png","Elegance Prime Horizontal","Equipped with Blue Diamond Glass Lined tank, Elegance Prime Water Heaters deliver high performance. Peace of mind is ensured with a 7 Year warranty on Tank.","MRP:  /-","10,500","","https://www.aosmithindia.com/product/elegance-prime-horizontal/"
"","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2023/08/Product-01-1-200x200.png","ForceNXT","ForceNXT instant water heater is crafted to meet your hot water needs on demand with 3kW heating element. It comes with a sturdy tank construction that lasts long. It is suitable for high rise buildings with 6.5 bar of pressure resistance. This water heater is designed to beautify your bathroom & kitchen.","MRP:","4,990","/-","https://www.aosmithindia.com/product/buy-force-nxt-3l-instant-water-heaters-a-o-smith-india/"
"","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2023/02/ZIP-200x222.png","Zip 7.5kW","ZIP Digital Tankless Water Heaters* are designed to re-define your bathing experience by providing continuous hot water instantaneously.","MRP:  /-","21,500","","https://www.aosmithindia.com/product/zip-7-5kw/"
"","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2023/02/ZIP-2-200x222.png","Zip 9kW","ZIP Digital Tankless Water Heaters* are designed to re-define your bathing experience by providing continuous hot water instantaneously.","MRP:  /-","25,500","","https://www.aosmithindia.com/product/zip-9kw/"
"Best Sellers","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2022/10/Elegance-prime2-200x222.png","Elegance Prime","Equipped with Blue Diamond Glass Lined tank, Elegance Prime Water Heaters deliver high performance. Peace of mind is ensured with a 7 Year warranty on Tank.","MRP:","11,400","/-","https://www.aosmithindia.com/product/elegance-prime/"
"Best Sellers","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2021/09/Finesse_Front_View-1.png","Finesse","Finesse Series equipped with Smart Modes facilitate hot water as per your requirement.","MRP:","11,100","/-","https://www.aosmithindia.com/product/finesse/"
"Best Sellers","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2021/09/XPress_Front_View-200x222.png","Xpress","Xpress Series values your time. This is why they give you hot water 33% faster compared to ordinary water heaters of 2kW.","MRP:","11,800","/-","https://www.aosmithindia.com/product/xpress/"
"Best Sellers","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2021/09/Urbane_Front_View-200x222.png","Urbane","With Blue Diamond Glass lined tank, the Urbane series is designed to perform the best, even in toughest water conditions.","MRP:","9,700","/-","https://www.aosmithindia.com/product/urbane/"
"","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2021/10/ZIP_Front_View_600-665-200x222.png","ZIP","ZIP Digital Tankless Water Heaters* are designed to re-define your bathing experience by providing continuous hot water instantaneously.","MRP:  /-","13,750","","https://www.aosmithindia.com/product/zip/"
"","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2021/11/HB_1-1-200x222.png","HeatBot Wifi","It's time to upgrade to the art of Smart Bathing with A.O. Smith HeatBot Wifi Water Heaters.","MRP:","20,000","/-","https://www.aosmithindia.com/product/heatbot-wifi/"
"","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2021/03/FASTON-03-4.5-KW_1-1-200x222.png","FastOn 4.5kW","Most Compact and stylish with superior performance in 4.5kW option.","MRP:","5,300","/-","https://www.aosmithindia.com/product/faston-4-5kw/"
"Best Sellers","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2021/03/Faston_black-200x222.png","FAST-ON 3kW","Most Compact and stylish with superior performance.","MRP:","5,000","/-","https://www.aosmithindia.com/product/faston-3kw/"
"Best Sellers","https://cdn-jmlld.nitrocdn.com/qydppaFNcKMRjVLinmLFvQMpPBYfFFCk/assets/images/optimized/rev-fee3abb/www.aosmithindia.com/wp-content/uploads/2020/10/MiniBot-SZS-3-3KW-200x222.png","MiniBot 3kW","Minimalistic design with cutting edge technology. Why Settle for Ordinary?","MRP:","5,600","/-","https://www.aosmithindia.com/product/minibot-3kw/"
