"image-fade_in_back href","attachment-woocommerce_thumbnail src","category","woocommerce-LoopProduct-link","show-on-hover src"
"https://breezalitfans.com/product/alessa/","https://breezalitfans.com/wp-content/uploads/2026/07/ALESSA-GLOSSY-WHITE-300x300.jpg","Ceiling Fans","Alessa",""
"https://breezalitfans.com/product/alina-3-blades/","https://breezalitfans.com/wp-content/uploads/2023/02/alina-brown-1-300x300.jpg","ALINA 3 BLADES","Alina 3 Blades","https://breezalitfans.com/wp-content/uploads/2023/02/alina-brass-1-300x300.jpg"
"https://breezalitfans.com/product/ambience/","https://breezalitfans.com/wp-content/uploads/2026/07/ambience-300x300.jpg","Ceiling Fans","AMBIENCE",""
"https://breezalitfans.com/product/ambiance/","https://breezalitfans.com/wp-content/uploads/2023/02/ambience-teak-wood-finish-300x300.jpg","Ceiling Fans","AMBIENCE","https://breezalitfans.com/wp-content/uploads/2023/02/ambience-teak-wood-finish-with-out-lighting-300x300.jpg"
"https://breezalitfans.com/product/angel-24/","https://breezalitfans.com/wp-content/uploads/2023/10/angel-antique-brass-finish-300x300.jpg","Ceiling Fans","Angel 24”","https://breezalitfans.com/wp-content/uploads/2023/10/angel-antique-copper-finish-300x300.jpg"
"https://breezalitfans.com/product/arena/","https://breezalitfans.com/wp-content/uploads/2026/07/ARENA-300x300.jpg","Ceiling Fans","ARENA","https://breezalitfans.com/wp-content/uploads/2026/07/ARENA-Pearl-white-with-N.-copper-300x300.jpg"
"https://breezalitfans.com/product/classic/","https://breezalitfans.com/wp-content/uploads/2023/02/classic-antique-copper-finish-300x300.jpg","Ceiling Fans","Classic","https://breezalitfans.com/wp-content/uploads/2023/02/classic-antique-brass-finish-300x300.jpg"
"https://breezalitfans.com/product/decora/","https://breezalitfans.com/wp-content/uploads/2023/02/decore-glossy-white-300x300.jpg","Ceiling Fans","Decora","https://breezalitfans.com/wp-content/uploads/2023/02/decore-glossy-white-without-lighting-300x300.jpg"
"https://breezalitfans.com/product/desire/","https://breezalitfans.com/wp-content/uploads/2023/02/desire-antique-brass-wiith-out-light-300x300.jpg","Ceiling Fans","Desire","https://breezalitfans.com/wp-content/uploads/2023/02/desire-antique-brass-300x300.jpg"
"https://breezalitfans.com/product/elegance/","https://breezalitfans.com/wp-content/uploads/2023/02/elegance-brass-housing-with-walnut-finish-blades-300x300.jpg","Ceiling Fans","Elegance","https://breezalitfans.com/wp-content/uploads/2023/02/elegance-copper-housing-with-walnut-finish-blades-300x300.jpg"
"https://breezalitfans.com/product/eleque/","https://breezalitfans.com/wp-content/uploads/2026/08/Eleque-1-300x300.jpeg","Ceiling Fans","Eleque","https://breezalitfans.com/wp-content/uploads/2026/08/Eleque-2-300x300.jpeg"
"https://breezalitfans.com/product/emperor/","https://breezalitfans.com/wp-content/uploads/2023/02/emperor-antique-copper-housing-with-walnut-finish-blades-300x300.jpg","Ceiling Fans","Emperor","https://breezalitfans.com/wp-content/uploads/2023/02/emperor-antique-brass-housing-with-walnut-finish-blades-300x300.jpg"
"https://breezalitfans.com/product/imperia-6-blade/","https://breezalitfans.com/wp-content/uploads/2026/07/imperia-300x300.jpg","Ceiling Fans","IMPERIA 6-BLADE",""
"https://breezalitfans.com/product/legend/","https://breezalitfans.com/wp-content/uploads/2023/12/legend-antique-brass-finish-300x300.jpg","Ceiling Fans","Legend","https://breezalitfans.com/wp-content/uploads/2023/12/legend-brushed-steel-finsh-300x300.jpg"
"https://breezalitfans.com/product/luminaire-6-blades/","https://breezalitfans.com/wp-content/uploads/2023/10/Luminaire_ROSE-GOLD-300x300.jpg","Ceiling Fans","Luminaire 6 Blades","https://breezalitfans.com/wp-content/uploads/2023/10/Luminaire_PEARL-SILVER-300x300.jpg"
"https://breezalitfans.com/product/platina/","https://breezalitfans.com/wp-content/uploads/2023/02/Platina-Antique-Brass-Finish-1-300x300.jpg","Ceiling Fans","Platina","https://breezalitfans.com/wp-content/uploads/2023/02/Platina-Antique-Ccpper-Finish-1-300x300.jpg"
"https://breezalitfans.com/product/stella/","https://breezalitfans.com/wp-content/uploads/2023/02/STELLA-Pearl-brown-with-Coffee-bean-finish-300x300.jpg","Ceiling Fans","Stella","https://breezalitfans.com/wp-content/uploads/2023/02/stell-rose-gold-300x300.jpg"
"https://breezalitfans.com/product/stevia-2/","https://breezalitfans.com/wp-content/uploads/2024/12/Stevia-1400mm-Matt-White-300x300.jpg","Ceiling Fans","Stevia",""
"https://breezalitfans.com/product/stevia/","https://breezalitfans.com/wp-content/uploads/2023/12/STEVIA_ANTIQUE-BRASS-WITH-WALNUT-BLADES-300x300.jpg","Ceiling Fans","STEVIA – Launching soon","https://breezalitfans.com/wp-content/uploads/2023/12/STEVIA_ANTIQUE-COPPER-WITH-ROSEWOOD-BLADES-300x300.jpg"
"https://breezalitfans.com/product/trendz/","https://breezalitfans.com/wp-content/uploads/2023/02/Trendz-antique-copper-finish-300x300.jpg","Ceiling Fans","Trendz","https://breezalitfans.com/wp-content/uploads/2023/02/Trendz-antique-brass-finish-300x300.jpg"
"https://breezalitfans.com/product/venus/","https://breezalitfans.com/wp-content/uploads/2023/12/venus-anitque-brass-housing-with-walnut-finish-blades-300x300.jpg","Ceiling Fans","Venus","https://breezalitfans.com/wp-content/uploads/2023/12/venus-anitque-copper-housing-with-walnut-finish-blades-300x300.jpg"
"https://breezalitfans.com/product/victor-plus/","https://breezalitfans.com/wp-content/uploads/2024/12/Victor-Plus-BLDC-1200mm-Brass-with-Walnut-Wood-300x300.jpg","Ceiling Fans","Victor Plus","https://breezalitfans.com/wp-content/uploads/2024/12/Victor-Plus-BLDC-1200mm-Glossy-White-300x300.jpg"
"https://breezalitfans.com/product/victorian/","https://breezalitfans.com/wp-content/uploads/2023/02/victorian-antique-brass-finish-300x300.jpg","Ceiling Fans","Victorian","https://breezalitfans.com/wp-content/uploads/2023/02/victorian-antique-copper-finish-300x300.jpg"
