"image-fade_in_back href","attachment-woocommerce_thumbnail src","show-on-hover src","category","woocommerce-LoopProduct-link"
"https://breezalitfans.com/product/aira/","https://breezalitfans.com/wp-content/uploads/2023/02/fd1f3998-ec0d-45a5-bead-408b7622a89b-300x300.jpg","https://breezalitfans.com/wp-content/uploads/2023/02/aira-back-300x300.jpg","AIRA","Aira"
"https://breezalitfans.com/product/ce-vent/","https://breezalitfans.com/wp-content/uploads/2023/02/c-vent-white-side-300x300.jpg","","CE VENT","CE Vent – 200MM"
"https://breezalitfans.com/product/ce-vent-with-grill/","https://breezalitfans.com/wp-content/uploads/2023/02/CE-VENT-GRILL-300x300.jpg","","CE VENT WITH GRILL","CE Vent with Grill"
"https://breezalitfans.com/product/ce-vent-with-light/","https://breezalitfans.com/wp-content/uploads/2023/02/CE-VENT-LIGHT-300x300.jpg","","CE VENT WITH LIGHT","Ce Vent With Light"
"https://breezalitfans.com/product/crown-axial-fan/","https://breezalitfans.com/wp-content/uploads/2023/02/Crown-White-300x300.jpg","https://breezalitfans.com/wp-content/uploads/2023/02/CROWN-A-2-300x300.jpg","CROWN AXIAL FAN","Crown Axial Fan"
"https://breezalitfans.com/product/fresho-axial-fan/","https://breezalitfans.com/wp-content/uploads/2026/07/FRESHO-AXIAL-FAN-300x300.jpg","","Exhaust Fans","FRESHO AXIAL FAN"
"https://breezalitfans.com/product/klassique/","https://breezalitfans.com/wp-content/uploads/2023/02/KLASSIQUE-300x300.jpg","","Exhaust Fans","Klassique"
"https://breezalitfans.com/product/lux-air-8/","https://breezalitfans.com/wp-content/uploads/2023/12/LUXE-AIR-WHITE_SIDE-300x300.jpg","https://breezalitfans.com/wp-content/uploads/2023/10/lux-air-white-back-300x300.png","Exhaust Fans","Lux air 8”"
"https://breezalitfans.com/product/regal-axial-fan/","https://breezalitfans.com/wp-content/uploads/2023/02/REGAL-WHITE-BREEZALIT-300x300.jpg","","Exhaust Fans","Regal Axial Fan – 150MM"
"https://breezalitfans.com/product/vent-air/","https://breezalitfans.com/wp-content/uploads/2023/02/vent-air-white-300x300.jpg","","Exhaust Fans","Vent Air – 150mm"
"https://breezalitfans.com/product/vent-air-glass-series/","https://breezalitfans.com/wp-content/uploads/2023/02/vent-air-glass-black-300x300.jpg","https://breezalitfans.com/wp-content/uploads/2023/02/vent-air-glass-white-300x300.jpg","Exhaust Fans","Vent Air Glass Series 150mm"
"https://breezalitfans.com/product/vent-air-metallic-finish/","https://breezalitfans.com/wp-content/uploads/2023/02/VENT-AIR-antique-brass-300x300.jpg","https://breezalitfans.com/wp-content/uploads/2023/02/VENT-AIR-antique-copper-300x300.jpg","Exhaust Fans","Vent Air Metallic Finish – 150 mm"
"https://breezalitfans.com/product/vent-mini/","https://breezalitfans.com/wp-content/uploads/2023/02/vent-mini-white-300x300.jpg","https://breezalitfans.com/wp-content/uploads/2023/02/vent-mini-black-1-300x300.jpg","Exhaust Fans","Vent Mini – 150mm"
"https://breezalitfans.com/product/ventillo-200mm/","https://breezalitfans.com/wp-content/uploads/2025/01/ventillo-200-mm-white-300x300.jpg","","Exhaust Fans","Ventillo"
"https://breezalitfans.com/product/ventso-8-inch/","https://breezalitfans.com/wp-content/uploads/2023/11/Ventso-8-inch-300x300.jpg","https://breezalitfans.com/wp-content/uploads/2023/11/ventso-back-300x300.jpg","Exhaust Fans","Ventso 8 inch"
