"x-el","x-el 2","x-el 3","x-el src","x-el 4","x-el 5","x-el 6","x-el 7","x-el 8","x-el 14","x-el 15","x-el href","x-el 16","x-el 17","x-el 18"
"DOT LED MINI SPOTLIGHT","CRYSTAL LED MINI SPOTLIGHT","CRYSTAL LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-b43d255.png/:/cr=t:22.27%25,l:0%25,w:100%25,h:55.46%25/rs=w:388,h:194,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","1W        38x23                   31                100","CCT & Colors: 3000K/4000K/6500K","Blue, Green, Red, Pink ,Yellow","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"CRYSTAL LED MINI SPOTLIGHT","CRYSTAL LED MINI SPOTLIGHT","CRYSTAL LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-d82a941.png/:/cr=t:21.58%25,l:0%25,w:100%25,h:56.84%25/rs=w:388,h:194,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","1W         33x23                  25                100","CCT & Colors: 3000K/4000K/6500K","Blue, Green, Red, Pink","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"CRYSTAL LED MINI SPOTLIGHT","CRYSTAL LED MINI SPOTLIGHT","CRYSTAL LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-76a767b.png/:/cr=t:28.24%25,l:2.83%25,w:94.34%25,h:46.99%25/rs=w:388,h:194,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W         45x35                   35               100","CCT & Colors: 3000K/4000K/6500K","Blue, Green, Red, Pink ,Yellow","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"EAGON LED MINI SPOTLIGHT","CRYSTAL LED MINI SPOTLIGHT(ADUJSTABLE)","CRYSTAL LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/untitled.140.png/:/cr=t:24.03%25,l:17.53%25,w:64.94%25,h:51.95%25/rs=w:388,h:194,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W         45x35                   35               100","CCT & Colors: 3000K/4000K/6500K","Blue, Green, Red, Pink ,Yellow","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"CRYSTAL LED MINI SPOTLIGHT(ADUJSTABLE)","CRYSTAL LED MINI SPOTLIGHT(ADUJSTABLE)","CRYSTAL LED MINI SPOTLIGHT(ADUJSTABLE)","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-ff92f9d.png/:/cr=t:22.11%25,l:0%25,w:100%25,h:55.77%25/rs=w:388,h:194,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","1W        45x28                  35                 100","CCT & Colors: 3000K/4000K/6500K","Blue, Green, Red, Pink","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"KARIZMA LED MINI SPOTLIGHT","CRYSTAL LED MINI SPOTLIGHT(ADUJSTABLE)","CRYSTAL LED MINI SPOTLIGHT(ADUJSTABLE)","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-d44d5b6.png/:/cr=t:24.4%25,l:0%25,w:100%25,h:58.29%25/rs=w:388,h:194,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W        45x28                   38                100","CCT & Colors: 3000K/4000K/6500K","Blue, Green, Red, Pink","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"KARIZMA DEEP LED MINI SPOTLIGHT","JELLY ACRYLIC LED MINI SPOTLIGHT","JELLY ACRYLIC LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-4123e37.png/:/cr=t:28.19%25,l:7.63%25,w:84.75%25,h:43.89%25/rs=w:388,h:194,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W          45x28                   38               100","CCT & Colors: 3000K/4000K/6500K","Blue, Green, Red, Pink","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"JELLY ACRYLIC LED MINI SPOTLIGHT","JELLY ACRYLIC LED MINI SPOTLIGHT","JELLY ACRYLIC LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-d95372d.png/:/cr=t:26.14%25,l:6.13%25,w:89.29%25,h:47.7%25/rs=w:388,h:194,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W       45x28                 35                   100","CCT & Colors: RGB","","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"JELLY CRYSTAL LED MINI SPOTLIGHT","JELLY ACRYLIC LED MINI SPOTLIGHT","JELLY CRYSTAL LED MINI SPOTLIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-88cb246.png/:/cr=t:25.67%25,l:13.24%25,w:73.53%25,h:48.66%25/rs=w:388,h:194,cg:true,m","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","3W        45x28                   35                100","CCT & Colors: RGB","","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
"CRAXA LED MINI SPOTLIGHT","JELLY CRYSTAL LED MINI SPOTLIGHT","","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-64c45d8.png/:/cr=t:21.58%25,l:0%25,w:100%25,h:56.84%25/rs=w:388,h:194,cg:true","Watt|  Size (mm) | Cut Size(mm) | Std.Pkg","1W         33x23                  25               100","CCT & Colors: 3000K/4000K/6500K","Blue, Green, Red, Pink","Features","Premium LED Spotlight","Send an Enquiry","mailto:sales@multtifabled.co.in","","",""
