"x-el","x-el 2","x-el 3","x-el src","x-el 4","x-el 5","x-el 6","x-el 7","x-el 14","x-el 16"
"XYLO LED WALL LIGHT","XYLO LED WALL LIGHT","XYLO LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-398f885.png/:/cr=t:0%25,l:0.42%25,w:96.8%25,h:100%25/rs=w:388,h:194,cg:true","Watt   |  Size (mm) |  Std.Pkg","6W         70x80x40         50","CCT & Colors: 3000K","Blue, Green, Red, Pink ,Yellow ,Purple","Premium LED Wall Light",""
"XYLO LED WALL LIGHT","XYLO LED WALL LIGHT","XYLO LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-2b5409d.png/:/cr=t:0%25,l:0%25,w:100%25,h:79.65%25/rs=w:388,h:194,cg:true","Watt   |  Size (mm) |  Std.Pkg","12W       120x85x40         50","CCT & Colors: 3000K","Blue, Green, Red, Pink ,Yellow ,Purple","Premium LED Wall Light",""
"XYLO LED WALL LIGHT","XYLO LED WALL LIGHT","XYLO LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-0a8d32a.png/:/cr=t:0%25,l:10.87%25,w:76.92%25,h:74.2%25/rs=w:388,h:194,cg:true,m","Watt   |  Size (mm) |  Std.Pkg","18W       170x80x40         30","CCT & Colors: 3000K","Blue, Green, Red, Pink ,Yellow ,Purple","Premium LED Wall Light",""
"CIAZ LED WALL LIGHT","STARZ LED WALL LIGHT","XYLO LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-5c6c1ac.png/:/cr=t:28.79%25,l:16.4%25,w:64.94%25,h:52.24%25/rs=w:388,h:194,cg:true,m","Watt   |  Size (mm) |  Std.Pkg","12W              95              30","CCT & Colors: 3000K","Blue, Green, Red, Pink ,Yellow ,Purple, RGB","Premium LED Wall Light",""
"ECO LED WALL LIGHT","STARZ LED WALL LIGHT","STARZ LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-6005972.png/:/cr=t:25.08%25,l:11.54%25,w:76.92%25,h:49.83%25/rs=w:388,h:194,cg:true,m","Watt   |  Size (mm) |  Std.Pkg","6W             95                  30","CCT & Colors: 3000K","Blue, Green, Red, Pink ,Yellow ,Purple","Premium LED Wall Light",""
"STARZ LED WALL LIGHT","STARZ LED WALL LIGHT","STARZ LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-6005972.png/:/cr=t:25.08%25,l:11.54%25,w:76.92%25,h:49.83%25/rs=w:388,h:194,cg:true,m","Watt   |  Size (mm) |  Std.Pkg","15W             95                  30","CCT & Colors: 3000K","Blue, Green, Red, Pink ,Yellow ,Purple","Premium LED Wall Light",""
"DZIRE LED WALL LIGHT","S-CROSS LED WALL LIGHT","DZIRE LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-dedb1cd.png/:/cr=t:15.78%25,l:16.22%25,w:67.57%25,h:65.77%25/rs=w:388,h:194,cg:true,m","Watt   |  Size (mm) |  Std.Pkg","4W                70               50","CCT & Colors: 3000K","Blue, Green, Red, Pink ,Yellow, RGB","Premium LED Wall Light",""
"CAMRY LED WALL LIGHT","S-CROSS LED WALL LIGHT","DZIRE LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-8be6f8b.png/:/cr=t:15.4%25,l:22.26%25,w:60.85%25,h:70.42%25/rs=w:388,h:194,cg:true,m","Watt   |  Size (mm) |  Std.Pkg","2W          90x60x35         50","","CCT & Colors: 3000K","Premium LED Wall Light","2W          90x60x35         50"
"S-CROSS LED WALL LIGHT","S-CROSS LED WALL LIGHT","S-CROSS LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-eca7554.png/:/cr=t:33.55%25,l:23.58%25,w:70.42%25,h:45.41%25/rs=w:388,h:194,cg:true,m","Watt   |  Size (mm) |  Std.Pkg","4W          90x60x35         50","","CCT & Colors: 3000K","Premium LED Wall Light",""
"ELANTRA LED WALL LIGHT","ELANTRA LED WALL LIGHT","S-CROSS LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-fb2df05.png/:/cr=t:26.84%25,l:11.54%25,w:76.92%25,h:44.32%25/rs=w:388,h:194,cg:true,m","Watt   |   Size (mm)     |  Std.Pkg","6W        100x100x100           50","CCT & Colors: 3000K","","Premium LED Wall Light",""
"ALTO LED WALL LIGHT","ELANTRA LED WALL LIGHT","IGNIS LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-e9712bd.png/:/cr=t:0%25,l:8.09%25,w:83.83%25,h:100%25/rs=w:388,h:194,cg:true","Watt   |    Size (mm)   |  Std.Pkg","5W          233x168x30        20","CCT & Colors: 3000K","Blue, Green, Red, Pink ,Yellow","Premium LED Wall Light",""
