brand,title,product_type,tags,handle,product_url,price_min_inr,price_max_inr,option_names,variants,num_images,image_urls,created_at,updated_at
Philips,Philips Astra Line 9W LED Batten,Tube light,"brand_Philips, Categories_Tube Light, clearance_sale, Origin_India, Price_Less than INR 1000, product_Tube light, room_Bed Room, room_Dining Room, room_Kitchen, room_Living Room, room_Study Room",philips-astra-line-led-tube-light-copy,https://in.shop.lighting.philips.com/products/philips-astra-line-led-tube-light-copy,240.0,240.0,"Watt, Color",9W/Natural white :: SKU=919215850570 :: ₹240.00,4,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/919215850570.png?v=1786517839 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/51eU224VSxL._SL1500.jpg?v=1785406706 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/61MLvWnkr_L._SL1026_ee9f411a-d760-4611-b637-2239a8a36e5b.jpg?v=1785406711 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/ExtendedwarrantywithSignifyDigiShield_651f3397-83e5-4b1c-8941-888771444890.png?v=1769861131,2026-07-30T15:47:14+05:30,2026-09-08T08:56:55+05:30
Philips,Philips Round Dimmable UltraGlow LED Downlighter,Ceiling Light,"bestselling_ceiling_lights, Brand_Philips, Categories_All, categories_ceiling, Categories_Ceiling Lights, Categories_Downlights, clearance_sale, downlights, main_ceiling Lights, Origin_India, product_Ceiling light, room_Living Room",philips-round-dimmable-ultraglow-led-downlighter,https://in.shop.lighting.philips.com/products/philips-round-dimmable-ultraglow-led-downlighter,249.0,249.0,Light color,Warm white :: SKU=929003814201 :: ₹249.00 | Cool day light :: SKU=929003814401 :: ₹249.00,6,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/929003814201.jpg?v=1786517608 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/61EISjq11fL._SL1200.jpg?v=1785323421 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/61NXzpv7oYL._SL1200.jpg?v=1785323424 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/611rDu1dm8L._SL1200.jpg?v=1785323428 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/61jgpCHN8dL._SL1200.jpg?v=1785323433 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/61xR91ofozL._SL1200.jpg?v=1785323437,2026-07-29T16:41:30+05:30,2026-09-08T08:56:55+05:30
Philips,Philips Panache Pendant Light,Pendant Light,"Brand_Philips, Categories_Decorative light, Categories_Pendant Light, clearance_sale, decorative_lights_suggested, main_pendant Lights, Origin_India, pendant_lights_livingroom_suggested, product_Pendant light",philips-panache-pendant-light,https://in.shop.lighting.philips.com/products/philips-panache-pendant-light,1700.0,1700.0,Title,Default Title :: SKU=919215850388 :: ₹1700.00,1,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/21p-tYGRjWL.jpg?v=1785400527,2026-07-30T14:05:59+05:30,2026-09-08T08:56:55+05:30
Philips,Philips Star Surface Round LED Downlight,Ceiling Light,"bestselling_ceiling_lights, categories_ceiling, Categories_Ceiling Lights, Categories_Downlights, clearance_sale, Collection_Smart Downlight, downlights, main_ceiling Lights",philips-star-surface-round-led-downlight,https://in.shop.lighting.philips.com/products/philips-star-surface-round-led-downlight,758.0,758.0,Title,Default Title :: SKU=929001951616 :: ₹758.00,4,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/61onN_G5skL._SL1500.jpg?v=1785403897 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/516UuBrJxSL._SL1500.jpg?v=1785403879 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/511_zAMkgML._SL1500.jpg?v=1785403885 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/5196Zao39YL._SL1500.jpg?v=1785403890,2026-07-30T15:06:59+05:30,2026-09-08T08:56:55+05:30
Philips,Philips DecoBright LED Spot Light,Ceiling Light,"categories_Spot light, Categories_Spot Lights, clearance_sale",philips-decobright-led-spot-light,https://in.shop.lighting.philips.com/products/philips-decobright-led-spot-light,413.0,413.0,"wattage, Body color, Light color",18W/White/Warm white :: SKU=929003844001 :: ₹413.00 | 18W/White/Cool day light :: SKU=929003844201 :: ₹413.00 | 18W/Chrome/Cool day light :: SKU=929004581101 :: ₹413.00,2,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/61mVG222PoL._SL1080.jpg?v=1785400789 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/decobright_7w_jb_rosegold_spotlight_1_7716d36b-2a38-4d84-a798-7510bda9585f.png?v=1769761607,2026-07-30T14:20:14+05:30,2026-09-08T08:56:55+05:30
Philips,Philips Rimless Surface LED Light,Ceiling Light,"bestselling_ceiling_lights, Brand_Philips, Categories_All, categories_ceiling, Categories_Surface Lights, clearance_sale, main_ceiling Lights, Origin_India, product_Ceiling light, room_Dining Room, room_Living Room, surface-lights",philips-rimless-surface-led-light,https://in.shop.lighting.philips.com/products/philips-rimless-surface-led-light,463.0,463.0,Light color,Warm White :: SKU=929003768501 :: ₹463.00 | Cool day light :: SKU=929003768701 :: ₹463.00,5,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/929003768701.jpg?v=1786517801 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/51UDDMh7FvL._SL1080.jpg?v=1785391912 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/61yPJCde1OL._SL1080.jpg?v=1785391917 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/515fyDcqlPL._SL1080.jpg?v=1785391922 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/61qqNTGixeL._SL1080.jpg?v=1785391927,2026-07-30T11:44:34+05:30,2026-09-08T08:56:55+05:30
Philips,Philips HexaStyle LED Downlight,Ceiling Light,"Brand_Philips, Categories_All, categories_ceiling, Categories_Ceiling Lights, Categories_Downlights, clearance_sale, Collection_Smart Downlight, downlights, Origin_India, room_Living Room",philips-hexastyle-led-downlight,https://in.shop.lighting.philips.com/products/philips-hexastyle-led-downlight,125.0,288.0,"Wattage, Light color",5W/Warm white :: SKU=929003529601 :: ₹125.00 | 5W/Cool day light :: SKU=929003529801 :: ₹125.00 | 5W/Natural white :: SKU=929003529701 :: ₹125.00 | 8W/Warm white :: SKU=929003146301 :: ₹188.00 | 8W/Natural white :: SKU=929003146401 :: ₹188.00 | 12W/Warm white :: SKU=929003155001 :: ₹256.00 | 12W/Natural white :: SKU=929003155101 :: ₹256.00 | 15W/Warm white :: SKU=929003146601 :: ₹288.00 | 15W/Natural white :: SKU=929003146701 :: ₹288.00,10,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/PhilipsHexaStyleLEDDownlight1.png?v=1747311595 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/929003529601.jpg?v=1786515928 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/61tHrvBuDxL._SL1500.jpg?v=1785222461 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/51YkDqLLINL._SL1080.jpg?v=1785222466 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/71IKK75Rp1L._SL1500.jpg?v=1785222473 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/61HcxwXiP9L._SL1500.jpg?v=1788419751 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/472507202-hexastyle-15-w_8529b18f-4feb-40fa-9928-56ca70011889.jpg?v=1747311595 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/472507202-hexastyle-15-w_225037c2-097a-4513-93d9-d0fc0ba8aac7.jpg?v=1747311596 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/472507202-hexastyle-15-w_9381c400-d067-4a6c-93b9-4e0e860b44d4.jpg?v=1747311596 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/51m8GRuR_NL._SL1500.jpg?v=1788419710,2026-07-28T13:06:57+05:30,2026-09-08T08:56:55+05:30
Philips,Philips Garden Spike light,outdoor lights,"Brand_Philips, Categories_Garden Spike, clearance_sale, new_arrivals, Origin_India, outdoor_lights_suggested, Price_INR 2001- 3000, Product_outdoor lights, Republic_Day_Sale_2025, room_Outdoor",philips-7w-garden-spike,https://in.shop.lighting.philips.com/products/philips-7w-garden-spike,425.0,500.0,"Wattage, Light color",7W/Red :: SKU=919215851088 :: ₹500.00 | 7W/Blue :: SKU=919215851090 :: ₹500.00 | 7W/amber :: SKU=919215851091 :: ₹500.00 | 5W/Natural white :: SKU=919215850979 :: ₹425.00,3,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/GardenSpike-1_bb3a468b-2bd2-463b-948b-dcea476fc29e.png?v=1769836972 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/919215850753_1bf935e5-985b-4f9f-bf3c-c924be4fa224.png?v=1769836972 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/ExtendedwarrantywithSignifyDigiShield_920c5f41-4624-4cbd-85bc-38a9e6474d2e.png?v=1769837000,2026-07-30T12:58:10+05:30,2026-09-08T08:56:55+05:30
Philips,Philips LineaSharp COB Recessed LED Downlight,Ceiling Light,"bestselling_ceiling_lights, categories_ceiling, Categories_COB Light, Categories_Downlights, cob-lights, downlights, main_ceiling Lights, New-Arrival, new_arrivals, New_launch, Newly added, product_Ceiling light",philips-lineasharp-cob-recessed-led-downlight,https://in.shop.lighting.philips.com/products/philips-lineasharp-cob-recessed-led-downlight,1379.0,10099.0,"Wattage, Light color",3W/Natural white :: SKU=929002682801 :: ₹1379.00 | 3W/Warm white :: SKU=929002682701 :: ₹1379.00 | 6W/Natural white :: SKU=929002683101 :: ₹2049.00 | 6W/Warm white :: SKU=929002683001 :: ₹2049.00 | 10W/Natural white :: SKU=929002683401 :: ₹3169.00 | 10W/Warm white :: SKU=929002683301 :: ₹3169.00 | 20W/Natural white :: SKU=929002683701 :: ₹7929.00 | 20W/Warm white :: SKU=929002683601 :: ₹7929.00 | 30W/Natural white :: SKU=929002684001 :: ₹10099.00 | 30W/Warm white :: SKU=929002683901 :: ₹10099.00,6,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/6WLineaSharp.jpg?v=1783577250 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/6_LineaSharp_A.jpg?v=1783577250 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/3WLineaSharp.jpg?v=1783577250 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/10WLineaSharp.jpg?v=1783577250 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/20WLineaSharp.jpg?v=1783577250 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/30WLineaSharp.jpg?v=1783577250,2026-07-09T10:38:22+05:30,2026-09-08T08:56:55+05:30
Philips,Philips Smart EarthView LED Surface Downlight,Ceiling Light,"categories_smart, Categories_Surface Lights, Collection_Smart, Collection_Smart Downlight, New-Arrival, new_arrivals, New_launch, Newly added, product_Smart lights, surface-lights",philips-smart-earthview-led-surface-downlight,https://in.shop.lighting.philips.com/products/philips-smart-earthview-led-surface-downlight,5200.0,5200.0,Title,Default Title :: SKU=915006612201 :: ₹5200.00,9,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/915006612201.png?v=1784805065 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard2_c11d2c1b-5c1f-4207-bc43-50365011a915.png?v=1784805019 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard6_5ea50f88-3412-41c5-9d52-e352e25e7c8b.png?v=1784805018 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard7_46c384ea-a797-49f6-a7c5-e70862409836.png?v=1784805019 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard4_ad5c4854-10bf-4f4b-9106-83a0132b8d8b.png?v=1784805018 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard3_92080fda-f7ef-43cc-a84a-593664f0d0eb.png?v=1784805018 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard5copy_67f16906-889b-45fd-8e39-f271d445a3a2.png?v=1784805018 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard9_34b72ef8-5166-4335-b595-ba91bd3d4c1c.png?v=1784805018 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard8_205a711f-fba1-4946-82ba-0c3a82f4c6ac.png?v=1784805018,2026-06-29T16:13:19+05:30,2026-09-08T08:56:55+05:30
