category,sku,name,price_text,product_url,image_url
Ceiling Fan,SUPERIA,SP02 BLDC 1200mm Sweep 5 Aluminium Blades Antique Copper Rosewood,Rs. 19999,https://polycab.com/superia-sp02-bldc-1200mm-sweep-5-aluminium-blades-antique-copper-rosewood/c-4980/p-53963,https://cms.polycab.com/media/uqndevyt/fcespst031p_img_01.png?format=webp
Ceiling Fan,,POISE BLDC 1200mm Sweep 5 Aluminium Blades Black Darkwood,Rs. 18999,https://polycab.com/poise-bldc-1200mm-sweep-5-aluminium-blades-black-darkwood/c-4980/p-53908,https://cms.polycab.com/media/pgohhi00/fcespst034p_img_01.png?format=webp
Ceiling Fan,DIVINA,UL5 BLDC 1230mm Sweep 5 Plastic Blade Walnut Wood,Rs. 17499,https://polycab.com/divina-ul5-bldc-1230mm-sweep-5-plastic-blade-walnut-wood/c-4980/p-60708,https://cms.polycab.com/media/5xhaouju/fcbldces070p_img_01.png?format=webp
Ceiling Fan,DIVINA,BLDC 1200mm Sweep 6 Aluminium Blades Antique Copper Rosewood,Rs. 16999,https://polycab.com/divina-bldc-1200mm-sweep-6-aluminium-blades-antique-copper-rosewood/c-4980/p-53871,https://cms.polycab.com/media/oh3nlra2/fcespst033p_img_01.png?format=webp
Ceiling Fan,SUPERIA,SP04 BLDC 1200mm Sweep 5 Aluminium Blades Antique Copper Rosewood,Rs. 16999,https://polycab.com/superia-sp04-bldc-1200mm-sweep-5-aluminium-blades-antique-copper-rosewood/c-4980/p-53977,https://cms.polycab.com/media/k3jipgow/fcespst032p_img_01.png?format=webp
Ceiling Fan,DIVINA,UL5 BLDC 1230mm Sweep 5 Plastic Blade Classic White,Rs. 16999,https://polycab.com/divina-ul5-bldc-1230mm-sweep-5-plastic-blade-classic-white/c-4980/p-60707,https://cms.polycab.com/media/ap0afjoh/fcbldces069p_img_01.png?format=webp
Ceiling Fan,SUPERIA,SP06 600mm Sweep 4 Aluminium Blades Brown,Rs. 15999,https://polycab.com/superia-sp06-600mm-sweep-4-aluminium-blades-brown/c-4979/p-53979,https://cms.polycab.com/media/4gxgwttj/fcespst006p_img_01.png?format=webp
Ceiling Fan,SILENCIO,CRUISER PRIME BLDC 1200mm Sweep 3 ABS Blades Walnut Wood,Rs. 14999,https://polycab.com/silencio-cruiser-prime-bldc-1200mm-sweep-3-abs-blades-walnut-wood/c-4980/p-53869,https://cms.polycab.com/media/tmub5mfx/fcbldces052m_img_01.jpg?format=webp
Ceiling Fan,SILENCIO,CRUISER PRIME 1200mm Sweep 3 ABS Blades Walnutwood,Rs. 14199,https://polycab.com/silencio-cruiser-prime-1200mm-sweep-3-abs-blades-walnutwood/c-4979/p-53915,https://cms.polycab.com/media/xsxmjrla/fcespst053m_img_01.png?format=webp
Ceiling Fan,SUPERIA,SP01 1200mm Sweep 3 Aluminium Blades Antique Copper Rosewood,Rs. 13499,https://polycab.com/superia-sp01-1200mm-sweep-3-aluminium-blades-antique-copper-rosewood/c-4979/p-53971,https://cms.polycab.com/media/q4hcnq33/fcespst024p_img_01.png?format=webp
Ceiling Fan,SUPERIA,SP01 1200mm Sweep 3 Aluminium Blades Antique Brass Darkwood,Rs. 13499,https://polycab.com/superia-sp01-1200mm-sweep-3-aluminium-blades-antique-brass-darkwood/c-4979/p-53972,https://cms.polycab.com/media/f5oflcek/fcespst025p_img_01.png?format=webp
Ceiling Fan,SUPERIA,SP01 1200mm Sweep 3 Aluminium Blades White,Rs. 13499,https://polycab.com/superia-sp01-1200mm-sweep-3-aluminium-blades-white/c-4979/p-53973,https://cms.polycab.com/media/v0bnrdrf/fcespst026p_img_01.png?format=webp
Table Fan,,Aery HS Table Fan 400mm Sweep 3 Blades White (With Copper Motor),Rs. 4199,https://polycab.com/aery-hs-table-fan-400mm-sweep-3-blades-white-with-copper-motor/c-4985/p-53837,https://cms.polycab.com/media/blke1off/ftahsst017p_img_01.png?format=webp
