"proBx href","lazy src","name"
"https://www.wiprolighting.com/products/modern-workspaces/2x2/immaculate-nxg","https://www.wiprolighting.com/storage/12036/immaculate-nxg.webp","Immaculate NXG"
"https://www.wiprolighting.com/products/modern-workspaces/2x2/verge-led","https://www.wiprolighting.com/storage/12129/VergeLED.webp","Verge LED"
"https://www.wiprolighting.com/products/modern-workspaces/2x2/opus-led","https://www.wiprolighting.com/storage/12104/Opus-LED.webp","Opus LED"
"https://www.wiprolighting.com/products/indoor-workspaces/modern-work-spaces/comet","https://www.wiprolighting.com/storage/11979/comet-(1).webp","Comet"
"https://www.wiprolighting.com/products/industrial-solutions/cleanroom-solutions/vision-led-prime-tocr","https://www.wiprolighting.com/storage/11922/Vision-LED-Prime-TOCR.webp","Vision LED Prime TOCR"
"https://www.wiprolighting.com/products/outdoor/street-lights/skyline-nxt","https://www.wiprolighting.com/storage/12158/Skyline-nxt.webp","Skyline NXT"
"https://www.wiprolighting.com/products/outdoor/flood-light/vega-floodlight","https://www.wiprolighting.com/storage/12180/VEGA-Floodlight.webp","VEGA Floodlight"
"https://www.wiprolighting.com/products/outdoor/architectural-lights/wall-light","https://www.wiprolighting.com/storage/12284/Wall-Light.webp","Wall Light"
"https://www.wiprolighting.com/products/outdoor/pathways-postops/nyx-bollard","https://www.wiprolighting.com/storage/9262/wipro_nyx-bollards-1719649582-1726661400.png","NYX Bollard"
"https://www.wiprolighting.com/products/outdoor/solar-light/solarise-12w","https://www.wiprolighting.com/storage/12164/SolaRISE-(12W).webp","SolaRISE (12W)"
"https://www.wiprolighting.com/products/modern-workspaces/linear/lino","https://www.wiprolighting.com/storage/9372/Lino.webp","Lino"
"https://www.wiprolighting.com/products/modern-workspaces/linear/aslimline-x","https://www.wiprolighting.com/storage/11962/AslimlineLED.webp","Aslimline-X"
"https://www.wiprolighting.com/products/modern-workspaces/linear/onair","https://www.wiprolighting.com/storage/12100/OnAir.webp","OnAir"
"https://www.wiprolighting.com/products/modern-workspaces/downlight/mollis","https://www.wiprolighting.com/storage/12097/mollis.webp","Mollis"
"https://www.wiprolighting.com/products/modern-workspaces/downlight/fokus","https://www.wiprolighting.com/storage/11989/Fokus+.webp","Fokus+"
